active_wallets,avg_gas_price,day,failed_tx,success_tx,total_gas_used,tx_count
25,8256880733.944954,2020-08-29,18,91,11015311,109
11,160526315789.4737,2020-08-30,8,30,3344062,38
32,8756302521.008404,2020-08-31,50,426,35490004,476
38,11484955752.212389,2020-09-01,17,435,60602937,452
42,10966108601.497461,2020-09-02,19,375,44290386,394
56,16037262804.274048,2020-09-03,21,8795,658205268,8816
51,13851810885.377478,2020-09-04,19,7955,754045565,7974
84,34969235449.769585,2020-09-05,54,3201,263011255,3255
53,8143413702.157581,2020-09-06,1,6878,433169612,6879
78,7611343411.600729,2020-09-07,19,9308,569417528,9327
175,10949773776.585955,2020-09-08,12,22599,1743091799,22611
96,10926412682.17847,2020-09-09,22,19533,1627279294,19555
234,11061311820.413889,2020-09-10,107,14148,1226356585,14255
589,11681877286.862206,2020-09-11,1266,29490,3152626133,30756
2856,14518505669.37061,2020-09-12,6911,95140,13386885598,102051
5004,16111771927.183445,2020-09-13,8044,131235,18745145938,139279
8335,37598531512.60054,2020-09-14,75253,327320,44883781239,402573
7580,27649726782.202557,2020-09-15,12865,134660,18635810680,147525
5284,19730074198.634388,2020-09-16,2295,74565,9929163155,76860
3630,21489349853.86587,2020-09-17,1247,125190,10203811860,126437
3356,21693903491.154167,2020-09-18,1745,132284,11160315374,134029
3157,19779322670.93572,2020-09-19,1527,47773,6601270716,49300
2980,18027684468.90189,2020-09-20,1077,45942,5494591224,47019
3256,19600985812.950256,2020-09-21,1522,89383,8473396159,90905
3941,26784260255.912952,2020-09-22,9699,106983,12601563046,116682
4166,17574267364.42825,2020-09-23,2681,87201,9994055864,89882
6088,22973100287.43849,2020-09-24,9936,114725,16052387554,124661
5540,17424146773.83433,2020-09-25,4074,104101,11701133394,108175
4679,16103801644.721472,2020-09-26,3394,88223,10193878139,91617
5452,16698358531.42688,2020-09-27,4018,96605,10840612092,100623
8010,19750904793.616436,2020-09-28,8832,155613,17494630179,164445
12399,22278769520.050854,2020-09-29,10319,179664,20559988992,189983
10736,19575963815.711754,2020-09-30,8492,182370,18855399496,190862
9172,19391760664.129303,2020-10-01,7140,153721,16761038059,160861
10972,18200512010.435577,2020-10-02,4475,124287,13002581973,128762
10293,18087323918.532475,2020-10-03,7715,151521,16759982202,159236
10532,17244334849.095577,2020-10-04,5273,128451,13676562413,133724
11127,18457917738.960106,2020-10-05,10901,134064,14534511985,144965
14612,21459137044.129044,2020-10-06,9275,159840,16290930916,169115
21586,19736832769.11728,2020-10-07,9671,189083,18779726864,198754
30811,20998213924.322014,2020-10-08,8962,204938,20158224512,213900
22665,20004568004.557476,2020-10-09,15318,201179,21681962171,216497
15929,18859945799.755802,2020-10-10,12006,191119,20137755114,203125
14775,18112020789.08696,2020-10-11,7832,173554,17711362040,181386
16834,19348779827.32586,2020-10-12,9888,176385,19849544207,186273
14727,19206562368.85305,2020-10-13,8512,172544,18642792350,181056
14785,18852291728.192646,2020-10-14,6157,159332,16886553562,165489
27823,24851396672.275967,2020-10-15,11621,245103,25133124837,256724
21282,19103269187.990986,2020-10-16,8165,186875,23196909853,195040
34803,19099502116.878532,2020-10-17,11707,220884,30921957144,232591
25454,19001432760.064236,2020-10-18,10163,196758,23517012874,206921
32001,20484642971.263855,2020-10-19,14283,237890,24232720727,252173
39486,20287816803.838047,2020-10-20,14168,248104,32865588996,262272
19909,19809035683.189827,2020-10-21,9158,197583,21811221249,206741
21636,20074705782.029167,2020-10-22,7505,167909,18651584173,175414
19439,20841174495.129753,2020-10-23,12908,193908,25798014384,206816
18136,18192893407.707508,2020-10-24,8115,158649,17645065639,166764
15622,18885488948.784916,2020-10-25,12970,190894,19644701506,203864
16321,19982778626.031746,2020-10-26,13585,193319,27253042701,206904
17677,18927234546.30652,2020-10-27,8800,174968,25231270019,183768
15879,19214389282.196,2020-10-28,9101,167013,24977068362,176114
14321,18913490007.61863,2020-10-29,8195,160625,26261316088,168820
15421,18598940891.960213,2020-10-30,6139,146344,21956698774,152483
18990,18471276597.392376,2020-10-31,6284,138513,16131491049,144797
11793,17422282498.289814,2020-11-01,7408,126243,14279185725,133651
12154,18421988909.109604,2020-11-02,9838,129383,16788245732,139221
15227,18767335881.08981,2020-11-03,15847,159382,22384917396,175229
12352,17897115372.612,2020-11-04,11521,133729,17374592502,145250
15848,18189652484.720413,2020-11-05,8148,129505,14704378527,137653
12052,18121195274.280247,2020-11-06,9261,137013,16828469796,146274
12827,18101844261.898792,2020-11-07,9054,131894,18322471053,140948
11916,16192454036.901924,2020-11-08,5118,101219,17496210593,106337
17444,17485901343.153206,2020-11-09,8685,124697,16398097242,133382
12177,17141273832.464659,2020-11-10,6325,117439,20021372200,123764
14729,18416344254.310852,2020-11-11,9826,124267,34589255797,134093
9348,17593286304.454308,2020-11-12,5690,109516,13152332572,115206
11545,17944158853.96246,2020-11-13,6709,104428,14912196755,111137
10342,16593949948.41906,2020-11-14,4879,94966,11406143506,99845
10074,16641809095.375515,2020-11-15,5185,99623,13680765416,104808
9136,17325892407.398327,2020-11-16,7539,100254,17926271853,107793
10221,18602313919.1049,2020-11-17,8870,106887,17152836147,115757
11459,18556812179.97156,2020-11-18,9217,126652,17420082475,135869
10079,18028749915.211506,2020-11-19,8126,130736,16555614210,138862
9841,19511181937.668682,2020-11-20,10357,140781,16060088350,151138
9944,17852000293.298023,2020-11-21,4834,113512,12827280681,118346
8592,17640502932.566914,2020-11-22,6804,104370,12688950739,111174
9110,17882989577.34735,2020-11-23,6952,109913,13282136820,116865
12361,20612846664.11923,2020-11-24,9651,158505,18152735954,168156
11822,18777128662.65682,2020-11-25,7961,154353,19384742200,162314
11413,21056655718.899963,2020-11-26,9444,139723,20467995567,149167
17089,18030552727.19128,2020-11-27,7330,164004,26643590190,171334
14391,17897646070.282467,2020-11-28,5266,189391,26420107618,194657
12945,17892394999.48888,2020-11-29,6015,184699,19482692161,190714
14962,18406861750.151974,2020-11-30,4900,184342,19752180303,189242
12640,18812220406.053295,2020-12-01,6217,174922,19870068561,181139
9911,18000440039.129642,2020-12-02,3449,182530,20353149807,185979
16994,18847099815.29396,2020-12-03,7072,224485,30203898969,231557
41748,19315730665.141193,2020-12-04,8147,229007,30892484351,237154
14831,18337752330.07734,2020-12-05,6130,169068,23326172420,175198
13565,18300462962.46353,2020-12-06,5586,167386,19520807272,172972
12201,18063200025.804016,2020-12-07,4246,159353,17884473305,163599
19524,18890581308.786064,2020-12-08,5690,183814,19694779322,189504
13803,18813009848.25138,2020-12-09,8730,164476,19301101837,173206
11294,18014456736.48357,2020-12-10,3982,163315,17892599875,167297
16548,18557859402.424435,2020-12-11,6085,160252,16193321879,166337
15296,17488582599.75204,2020-12-12,8839,137565,16511096103,146404
10295,17279432877.669365,2020-12-13,5647,137433,14832914806,143080
12459,18631377142.946205,2020-12-14,11802,139368,16499913374,151170
11292,18569783720.013584,2020-12-15,12730,124648,15035344240,137378
13002,19395937949.94266,2020-12-16,12970,136253,16372630728,149223
22498,20475482095.335865,2020-12-17,12155,143185,16141835898,155340
31401,19431412163.471302,2020-12-18,10839,201295,20033204676,212134
18757,19764134603.600403,2020-12-19,13610,218222,24652910925,231832
16092,19880255996.20449,2020-12-20,9532,192140,21632325811,201672
51625,21198705768.94366,2020-12-21,22475,331512,33833294747,353987
40675,20450700983.491726,2020-12-22,19965,375715,38308832138,395680
45008,21526246219.03542,2020-12-23,22139,451621,40216535205,473760
50973,20366505995.503727,2020-12-24,14123,395684,41154435341,409807
53746,20225634641.472584,2020-12-25,18554,314671,30422400783,333225
34851,19558277913.432316,2020-12-26,17357,282731,29382952625,300088
37506,20702127114.23016,2020-12-27,18821,309582,31763827344,328403
37047,20597908040.997097,2020-12-28,25231,315290,31318350429,340521
40555,22949195770.12628,2020-12-29,36023,319718,33581444141,355741
33546,22302437987.269825,2020-12-30,34088,287343,31276681405,321431
31780,20799398636.26855,2020-12-31,35956,351744,39571511436,387700
37710,20922532145.571026,2021-01-01,39143,312588,33778801607,351731
33217,21234665398.997097,2021-01-02,20667,328768,36031522770,349435
30125,21945355279.821697,2021-01-03,37935,351038,40707821416,388973
30404,22489821915.444008,2021-01-04,46480,372577,42050766570,419057
28890,21656983665.47229,2021-01-05,32091,354848,40129383643,386939
27239,20968585258.26067,2021-01-06,39221,325054,37476844818,364275
26900,22029717901.58491,2021-01-07,57468,338169,40600641644,395637
26813,21678503667.458817,2021-01-08,55754,352936,40965051474,408690
35093,20793113312.739094,2021-01-09,55877,340709,39019761980,396586
53670,20743016253.10789,2021-01-10,47751,391409,40102605044,439160
46392,22591682708.80413,2021-01-11,53685,362900,40241910853,416585
38755,20382046175.954742,2021-01-12,46069,316648,34679143049,362717
28911,20679591834.54174,2021-01-13,52436,330133,38310858630,382569
32000,21565806296.244484,2021-01-14,53460,311619,37580273272,365079
29874,21555351611.51114,2021-01-15,53989,273489,33038825330,327478
24697,21122686380.71018,2021-01-16,38804,255622,30823132153,294426
25128,21591505335.404644,2021-01-17,30252,238616,30098798543,268868
26226,21610778556.529316,2021-01-18,26427,251042,30035882676,277469
28738,21796119034.486614,2021-01-19,35870,286866,34532705439,322736
27336,21021892134.81363,2021-01-20,34330,243455,31565682839,277785
28181,21539469633.83802,2021-01-21,45208,279013,35222123173,324221
29956,21593312891.171627,2021-01-22,62046,278930,36378122453,340976
33144,20936967323.088764,2021-01-23,55263,271450,35469842781,326713
30320,21776768757.056843,2021-01-24,77225,269294,37030955036,346519
43813,21995892348.82798,2021-01-25,63052,323708,42768935312,386760
33292,21984628130.482353,2021-01-26,148095,384559,53765302048,532654
69788,22417548904.06899,2021-01-27,216750,554711,72467786220,771461
64433,23015394100.496452,2021-01-28,199387,537544,74889533922,736931
47410,23186512810.900986,2021-01-29,142543,441545,59631151563,584088
45648,23172213145.895874,2021-01-30,184989,463369,64795792116,648358
44016,22969902129.272213,2021-01-31,168368,468622,68461161973,636990
54111,25186740513.641796,2021-02-01,181305,517822,71165191984,699127
48251,25839382425.894726,2021-02-02,199640,527463,74389866436,727103
50705,23532101469.51759,2021-02-03,195334,556333,76183102180,751667
68153,21923235974.65693,2021-02-04,243737,586576,87471231953,830313
61273,21576986926.7904,2021-02-05,269689,701044,102738566658,970733
67915,21229086414.184254,2021-02-06,218411,736436,107289675370,954847
65799,20036151998.895855,2021-02-07,278842,800139,108787142055,1078981
122508,20076556006.096664,2021-02-08,292070,983294,131332825796,1275364
127927,21036906360.48903,2021-02-09,517993,1141281,161210740021,1659274
98888,20976878019.23617,2021-02-10,527671,1151844,174561954748,1679515
