hid,title,type,rating,origination,read,last_read,synonyms,mal,anilist,mangaupdates
HiQYdXbc,Nano Machine,Reading,9,Manhwa,267,2025-09-27,"喇勞 魔神,奈米魔神,某天成为魔神,나노마신,ナノ魔神,Nano Mashin,Наномашины,นาโนมาชิน,Nano máquinas,Maluska Maszynka,Ngã Lão Ma Thần,Ma Thần Nano,Nanoroboty,Ngã lão ma thần,نانو ماشین,喇勞魔神,Nanotecnologia Marcial,Nano Machine",https://myanimelist.net/manga/147863,https://anilist.co/manga/120980,https://www.mangaupdates.com/series/01w7hvo
6fhIgNkN,The Swordmaster's Son,Reading,9,Manhwa,169,2025-07-26,"Youngest Son of the Renowned Swordsmanship Clan,검술명가 막내아들,The Youngest Son of a Renowned Family of Swordsmen,Младший сын фехтовальщика,Swordmaster's Youngest Son,El hijo menor del maestro de la espada",https://myanimelist.net/manga/146949,https://anilist.co/manga/149332,https://www.mangaupdates.com/series/y1efy8l
hBpzPR9b,Wind Breaker,Reading,0,Manhwa,556,2025-07-16,"قواطع الرياح,ウインドブレーカー,冲锋衣,Ветролом,윈드브레이커,Quebra Vento,بادشکن,Wind Breaker – Vélo,Жел уатқыш,Вітролом,ปั่นสู้ฝัน [Wind Breaker],衝鋒衣,衝鋒衣,Ветролом (вебтун),قواطع الرياح,ปั่นสู้ฝัน [Wind Breaker],ウインドブレーカー,冲锋衣",https://myanimelist.net/manga/103237,https://anilist.co/manga/86099,https://www.mangaupdates.com/series/8jn71ik
ieNorEEW,The Return of the Disaster-Class Hero,Reading,0,Manhwa,130,2025-07-09,"재앙급 영웅님이 귀환하셨다,Возвращение героя катастрофы,بازگشت قهرمان سطح فاجعه,Felaket Kahramanın Dirilişi,A Disaster Class Hero Has Returned,Return of the Disaster-Level Hero,The Return of the Disaster-Class Hero Chapter,Возвращение героя уровня катастрофы,災いクラスの俺様英雄の帰還,災難級英雄歸來,灾难级英雄归来,การกลับมาของฮีโร่ระดับหายนะ,Jaeang-geup Yeongung-nim-i Gwihwan Hasyeotda,Jaeanggeum Yeongungnimi Gwihwanhasyeotda,The Return of the Disaster-Class Hero,Resurrection of the Catastrophic Hero",https://myanimelist.net/manga/149013,https://anilist.co/manga/143056,https://www.mangaupdates.com/series/jv1z73a
to1fIcBI,Global Martial Artist,Reading,0,Manhua,305,2025-06-24,"World's Best Martial Artist,全球高武,Global Gao Wu,Quan Qiu Gao Wu,흙수저에서 최강 투신으로,Global Martial Arts,覚醒したら最強闘拳師になった件,Toàn Cầu Cao Võ,World's Greatest Martial Artist,Global High Martial Artist,Artes marciais globais,Global Master Martial,Quán Qiú Gāo Wǔ",,https://anilist.co/manga/119486,https://www.mangaupdates.com/series/d8dnox4
7NqCObsf,The Lone Necromancer,Reading,0,Manhwa,188,2025-07-23,"나 혼자 네크로맨서,Jedyny Nekromanta,Некромант-одиночка,死灵法师：亡灵支配者,Solo Necromancy,The Only Necromancer,末日獨尊：死靈法師,Nigromante en Solitario,Nigromante en solitario,O Único Necromante,Only I Am a Necromancer,ソロ降霊術,Only I Am a Necromancer,ソロ降霊術,Na Honja Nekeuromaenso",https://myanimelist.net/manga/147450,https://anilist.co/manga/139572,https://www.mangaupdates.com/series/fcio7ve
ZI8OKYku,The Player Who Can't Level Up,Reading,0,Manhwa,195,2025-07-11,"无法升级的玩家,레벨업 못하는 플레이어,Игрок, который не может повысить уровень,The Player Who Can't Level Up: O Mestre dos Egos,The Player That Can’t Level Up,El jugador que no puede subir de nivel,Level-Up Motaneun Player,Player Who Can't Level Up,The Player That Can't Level Up,留級玩家,Level-Up Motaneun Player,Player Who Can't Level Up,The Player That Can't Level Up,เพลเยอร์เลเวลไม่อัป,留級玩家",https://myanimelist.net/manga/147995,https://anilist.co/manga/130511,https://www.mangaupdates.com/series/uc8601r
eHQyQ8Cj,The Max Level Hero Strikes Back,Reading,0,Manhwa,209,2025-07-13,"最終レベル英雄のご帰還,顶级英雄归来,만렙 영웅님께서 귀환하신다!,การกลับมาของวีรบุรุษเวลตัน,Возвращение героя максимального уровня,英雄大人滿級回歸,O Herói de Nível Máximo Retornou!,The Max Level Hero Has Returned!,Max Level Hero is Making a Comeback!,The MAX leveled hero will return!,Max Level Hero,The Max Level Hero Strikes Back!,O Herói de Nível Máximo Retornou",,https://anilist.co/manga/125636,https://www.mangaupdates.com/series/v7vjo3s
Hv3WjuSR,Level Up with the Gods,Reading,0,Manhwa,138,2025-07-15,"Поднятие уровня с богами,Singwa Hamkke Level Up,เลเวลอัปไปกับเทพเจ้า,神と共にレベルアップ,与神一同升级,Leveling With the Gods,신과 함께 레벨업,Підняття рівня з богами,Upando com os deuses,與神共進,Level Up With the Gods,Level UP mit den Göttern,Nivelando con los Dioses,Subiendo de nivel junto a los Dioses,Leveling Up With the Gods,Subindo De Nível Com Os Deuses,POZIOMKOWANIE Z BOŻKAMI",https://myanimelist.net/manga/148009,https://anilist.co/manga/138222,https://www.mangaupdates.com/series/his7tyi
11q9uH8O,Mabeop Hakgyo Apjeommyeol Cheonjae-ga Doeeotda,Reading,0,Manhwa,57,2025-05-30,"Magic Academy's Genius Blinker,Gênio do teletransporte da academia de magia,Blink Master of the Magic Academy,I Became a Flashing Genius at the Magic Academy,I Become Flashing Genius at the Magic Academy,ザコキャラ憑依のはずが、アカデミーの天才になっていた,魔法学院的闪现天才,Mabeop Hakgyo Apjeommyeol Cheonjae-ga Doeeotda,마법학교 앞점멸 천재가 되었다,Quick Teleporting Genius from Magic School,I Became a Flashing Genius at the Magic Academy,I Become Flashing Genius at the Magic Academy,ザコキャラ憑依のはずが、アカデミーの天才になっていた",https://myanimelist.net/manga/170974,https://anilist.co/manga/178379,https://www.mangaupdates.com/series/4x1ds0v
